# Scurve for pixel in column 40, row 147
# 
# Configuration:
# {"comment": "", "pulser_dac_correction": false, "step_size": 1, "disable_shift_masks": [], "mask_steps": 3, "scan_parameters": [["PlsrDAC", [null, 100]]], "use_enable_mask": false, "n_injections": 100, "enable_shift_masks": ["Enable", "C_High", "C_Low"], "reset_rx_on_error": false}
# 
PulserDAC   Counts
  0   0
  1   0
  2   0
  3   0
  4   0
  5   0
  6   0
  7   0
  8   0
  9   0
 10   0
 11   0
 12   0
 13   0
 14   0
 15   0
 16   0
 17   0
 18   0
 19   0
 20   0
 21   0
 22   0
 23   0
 24   1
 25   0
 26   8
 27   6
 28  15
 29  22
 30  51
 31  64
 32  82
 33  86
 34  94
 35  99
 36  99
 37  99
 38 100
 39 100
 40 100
 41 100
 42 100
 43 100
 44 100
 45 100
 46 100
 47 100
 48 100
 49 100
 50 100
 51 100
 52 100
 53 100
 54 100
 55 100
 56 100
 57 100
 58 100
 59 100
 60 100
 61 100
 62 100
 63 100
 64 100
 65 100
 66 100
 67 100
 68 100
 69 100
 70 100
 71 100
 72 100
 73 100
 74 100
 75 100
 76 100
 77 100
 78 100
 79 100
 80 100
 81 100
 82 100
 83 100
 84 100
 85 100
 86 100
 87 100
 88 100
 89 100
 90 100
 91 100
 92 100
 93 100
 94 100
 95 100
 96 100
 97 100
 98 100
 99 100
100 100
